Flow_Timeout(s),Lambda_Rate(packets/s),Average_Delay(s)
2.0,2.2399999999999998,1.4199548628777914
2.0,2.25,1.3590525164561458
2.0,2.26,1.2988318893086381
2.0,2.27,1.3315260510844917
2.0,2.28,1.3923769066299494
2.0,2.29,1.3523522351077601
2.0,2.3,1.6052191298417073
2.0,2.31,1.5744152417430275
2.0,2.32,1.4780052234683325
2.0,2.3299999999999996,1.8034422826690761
2.0,2.34,1.51537818873272
2.0,2.3499999999999996,1.4762728830142504
2.0,2.36,1.7500502507279478
2.0,2.3699999999999997,1.544641698693086
2.0,2.38,1.5570565170957704
2.0,2.3899999999999997,1.5830363665655989
2.0,2.4,1.5645383028886954
2.0,2.4099999999999997,1.7108280503262663
2.0,2.42,1.7578048890177904
2.0,2.4299999999999997,1.8008590366341488
2.0,2.44,1.7630022480789462
2.0,2.4499999999999997,1.8607051760886588
2.0,2.46,1.8619914168972054
2.0,2.4699999999999998,2.1035365960914714
2.0,2.48,1.8630174846623322
2.0,2.4899999999999998,1.913671177962798
2.0,2.5,1.881771768719137
2.0,2.51,2.0700859212097136
2.0,2.52,1.9093044588302739
2.0,2.53,2.151946869614075
2.0,2.54,2.206636290857219
2.0,2.55,2.3571604665589487
2.0,2.56,2.338079002922925
2.0,2.57,2.4336479682930308
2.0,2.5799999999999996,2.638222527218828
2.0,2.59,2.3735475016174497
2.0,2.5999999999999996,2.4161572327339154
2.0,2.61,2.3785021169104152
2.0,2.6199999999999997,3.0303129498460613
2.0,2.63,3.336511368397229
2.0,2.6399999999999997,2.4701398870254527
2.0,2.65,2.904979482689633
2.0,2.6599999999999997,2.719581438633525
2.0,2.67,3.2561363105110472
2.0,2.6799999999999997,2.92940935150886
2.0,2.69,3.1125415490981543
2.0,2.6999999999999997,3.083065931467003
2.0,2.71,3.2933927621813157
2.0,2.7199999999999998,4.181783373041261
2.0,2.73,3.2629667284653197
2.0,2.7399999999999998,3.471328957024093
2.0,2.75,3.6986076191865114
2.0,2.76,5.050823149557289
2.0,2.77,3.2887912308882545
2.0,2.78,5.070797779080884
2.0,2.79,4.125482245627908
2.0,2.8,3.979771846770426
2.0,2.81,7.090925976398627
2.0,2.82,5.45926305902797
2.0,2.8299999999999996,5.229884260278571
2.0,2.84,5.628404297602346
2.0,2.8499999999999996,6.237373201961567
2.0,2.86,6.06550060059455
2.0,2.8699999999999997,9.128731950317508
2.0,2.88,10.132490519293086
2.0,2.8899999999999997,8.858056403421822
2.0,2.9,7.019704196503375
2.0,2.9099999999999997,8.354289747865794
2.0,2.92,14.618252146488798
2.0,2.9299999999999997,10.244641518063323
2.0,2.94,22.179434260965074
2.0,2.9499999999999997,17.17759503440399
2.0,2.96,23.099572652601864
2.0,2.9699999999999998,70.85042873476158
2.0,2.98,22.016400320752687
2.0,2.9899999999999998,38.16226271509331
3.0,0.01,1.8179179337246993
3.0,0.02,1.8188789015814493
3.0,0.03,1.781305732574049
3.0,0.04,1.7533303525498185
3.0,0.05,1.8295381132175033
3.0,0.060000000000000005,1.6776453719089899
3.0,0.06999999999999999,1.6322901678233745
3.0,0.08,1.6370861981272207
3.0,0.09,1.5884309168853519
3.0,0.09999999999999999,1.5690350106211233
3.0,0.11,1.5161485572023121
3.0,0.12,1.524128732988573
3.0,0.13,1.4729769848009926
3.0,0.14,1.4138493010942403
3.0,0.15000000000000002,1.4418996004526594
3.0,0.16,1.4568484706625502
3.0,0.17,1.376233119683676
3.0,0.18000000000000002,1.3212692994426478
3.0,0.19,1.3422136608411945
3.0,0.2,1.3036169172083945
3.0,0.21000000000000002,1.2838144132722493
3.0,0.22,1.2741110572310286
3.0,0.23,1.2386291368728477
3.0,0.24000000000000002,1.2122815875657025
3.0,0.25,1.1640250155977483
3.0,0.26,1.1930773040605367
3.0,0.27,1.1446509789064108
3.0,0.28,1.1564829995496575
3.0,0.29000000000000004,1.1013961862970365
3.0,0.3,1.120779273481085
3.0,0.31,1.0830798933257602
3.0,0.32,1.1040340067726093
3.0,0.33,1.1171844709352727
3.0,0.34,1.0708146667373992
3.0,0.35000000000000003,1.0426873728170578
3.0,0.36000000000000004,1.0724908622225007
3.0,0.37,1.041149472503701
3.0,0.38,1.0343307793317666
3.0,0.39,0.9852353355753541
3.0,0.4,1.0012325888918425
3.0,0.41000000000000003,1.0141547080947468
3.0,0.42000000000000004,0.9472065951542837
3.0,0.43,0.9365021821005529
3.0,0.44,0.9331218617294919
3.0,0.45,0.9621806691622227
3.0,0.46,0.9084449839257076
3.0,0.47000000000000003,0.9424586336098494
3.0,0.48000000000000004,0.9167992399834954
3.0,0.49,0.917701880249199
3.0,0.5,0.8655874820187546
3.0,0.51,0.8829727707967528
3.0,0.52,0.8611141454803825
3.0,0.53,0.8620176540898072
3.0,0.54,0.8472229251053839
3.0,0.55,0.8598843868222672
3.0,0.56,0.8550200571473512
3.0,0.5700000000000001,0.8459226529697123
3.0,0.5800000000000001,0.832972541637304
3.0,0.59,0.8232314237719557
3.0,0.6,0.8105710016674949
3.0,0.61,0.7966483921630214
3.0,0.62,0.7796815626070269
3.0,0.63,0.7948085980429438
3.0,0.64,0.8166683936777173
3.0,0.65,0.7832980885022082
3.0,0.66,0.7534617218585146
3.0,0.67,0.742593988425183
3.0,0.68,0.7565520505937372
3.0,0.6900000000000001,0.7325910211848181
3.0,0.7000000000000001,0.7619969411640534
3.0,0.7100000000000001,0.7285422311353055
3.0,0.72,0.7199743585661641
3.0,0.73,0.7319645706033131
3.0,0.74,0.721706761389098
3.0,0.75,0.6909978929708742
3.0,0.76,0.7362814836965715
3.0,0.77,0.7174804012982451
3.0,0.78,0.7029570184807125
3.0,0.79,0.6777872202448255
3.0,0.8,0.7290062522067005
3.0,0.81,0.6995319334354169
3.0,0.8200000000000001,0.6884957040218687
3.0,0.8300000000000001,0.6737272859788098
3.0,0.8400000000000001,0.6834306926722243
3.0,0.85,0.6954274825210102
3.0,0.86,0.7115147919267699
3.0,0.87,0.6570310139859504
3.0,0.88,0.676848038068896
3.0,0.89,0.6681981338062402
3.0,0.9,0.6672078487244646
3.0,0.91,0.6593314399098893
3.0,0.92,0.6806770474368887
3.0,0.93,0.6820028069418147
3.0,0.9400000000000001,0.6747651464411376
3.0,0.9500000000000001,0.6349211822537992
3.0,0.9600000000000001,0.6619998083275578
3.0,0.97,0.6635668506756339
3.0,0.98,0.6447304333800749
3.0,0.99,0.6633132714158076
3.0,1.0,0.6410812344763898
3.0,1.01,0.6689208791297332
3.0,1.02,0.6487049112716269
3.0,1.03,0.6468248142695471
3.0,1.04,0.6424762451873288
3.0,1.05,0.6539729067505183
3.0,1.06,0.6487263805654075
3.0,1.07,0.6788779910765972
3.0,1.08,0.6406254891220241
3.0,1.09,0.6634046293284609
3.0,1.1,0.6244009265095173
3.0,1.11,0.6527172460159966
3.0,1.12,0.6406354910061444
3.0,1.1300000000000001,0.6641540326551248
3.0,1.1400000000000001,0.6543194561807658
3.0,1.1500000000000001,0.6472040027544455
3.0,1.1600000000000001,0.6363990957329365
3.0,1.17,0.684626375651092
3.0,1.18,0.6447227304151883
3.0,1.19,0.6258516390356054
3.0,1.2,0.6520096886094814
3.0,1.21,0.6585274845228504
3.0,1.22,0.6764594993908417
3.0,1.23,0.6387285825150388
3.0,1.24,0.6687735604809422
3.0,1.25,0.6675615808815336
3.0,1.26,0.6486849291383081
3.0,1.27,0.6483907155532582
3.0,1.28,0.64634363048091
3.0,1.29,0.6709862639728696
3.0,1.3,0.679796812977011
3.0,1.31,0.6668627968117972
3.0,1.32,0.6203366634480103
3.0,1.33,0.6933913889126256
3.0,1.34,0.6475693678464487
3.0,1.35,0.686357605089707
3.0,1.36,0.690350273890271
3.0,1.37,0.6791916729119157
3.0,1.3800000000000001,0.6987259699269217
3.0,1.3900000000000001,0.6643148205583495
3.0,1.4000000000000001,0.6752686184811151
3.0,1.4100000000000001,0.6876713277108863
3.0,1.42,0.6850642151636047
3.0,1.43,0.6865106521840377
3.0,1.44,0.6769699198549683
3.0,1.45,0.6983297342654249
3.0,1.46,0.6751328585464952
3.0,1.47,0.7235761490914231
3.0,1.48,0.7473478320599539
3.0,1.49,0.7328634321044059
3.0,1.5,0.7039915244189535
3.0,1.51,0.740105168417554
3.0,1.52,0.7316255246619928
3.0,1.53,0.7066810739460216
3.0,1.54,0.7400154279437536
3.0,1.55,0.7449790895798695
3.0,1.56,0.7114882070013119
3.0,1.57,0.7423218548654056
3.0,1.58,0.755086824621066
3.0,1.59,0.7413112928763715
3.0,1.6,0.7518085041029534
3.0,1.61,0.7501806633339227
3.0,1.62,0.7592362522710824
3.0,1.6300000000000001,0.7635578105959565
3.0,1.6400000000000001,0.7560915651238955
3.0,1.6500000000000001,0.7694468866337459
